Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
4468,Mining,19.41,19.18,,,,"Fri Jun 20, 2025 - 04:00:48",User,1.5,ppm,,,,,sample3,Mining,63.8734 , 56.1688,<LOD,3.9428,5.2372 , 4.1729,921032.1875 , 679.7582,<LOD,2.5057,97.3914 , 38.9558,<LOD,146.2242,427.0059 , 48.9119,<LOD,16.9976,73466.5312 , 208.2967,<LOD,0.0000,<LOD,4.2804,1009.1534 , 50.0061,<LOD,1.6784,<LOD,1.3335,3180.0505 , 40.7877,17.0867 , 1.7694,110.8134 , 8.6074,<LOD,1.1400,<LOD,0.0000,149.6776 , 121.7533,<LOD,1.5697,219.3712 , 11.2110,<LOD,0.5154,<LOD,0.0000,<LOD,2.1373,156.1193 , 127.0419,<LOD,2.0753,<LOD,103.1059,<LOD,0.0000,<LOD,0.9925,65.4777 , 4.4335,<LOD,1.1618,
4469,Mining,19.92,19.35,,,,"Fri Jun 20, 2025 - 04:01:31",User,1.5,ppm,,,,,sample3,Mining,50.4908 , 44.4047,2.7903 , 1.6461,8.9859 , 4.2989,915573.9375 , 702.5215,<LOD,2.3539,76.7915 , 30.7190,<LOD,157.7894,404.0892 , 46.4136,<LOD,20.9970,78707.5547 , 206.9636,<LOD,0.0000,<LOD,3.1159,1153.1304 , 50.4819,<LOD,2.0179,<LOD,1.3688,3525.6055 , 41.6626,12.3441 , 1.6099,102.2791 , 8.4050,<LOD,1.1220,<LOD,0.0000,110.7004 , 90.0564,<LOD,1.6258,186.7659 , 10.9245,<LOD,0.4850,<LOD,0.0000,<LOD,2.0316,<LOD,260.9122,<LOD,2.4021,<LOD,99.3914,<LOD,0.0000,<LOD,0.9464,84.5131 , 4.7253,<LOD,1.0709,
4470,Mining,19.82,19.36,,,,"Fri Jun 20, 2025 - 04:02:11",User,1.5,ppm,,,,,sample3,Mining,54.5477 , 47.9719,<LOD,3.7761,<LOD,5.8972,919049.3750 , 687.9138,<LOD,2.4643,68.6154 , 27.4479,<LOD,144.3402,344.8084 , 45.8384,<LOD,17.1518,75625.4375 , 206.2205,<LOD,0.0000,<LOD,3.1560,1053.0852 , 49.4489,<LOD,2.6711,<LOD,1.4963,3283.6406 , 40.6577,12.0661 , 1.6207,108.1502 , 8.4639,<LOD,1.1099,<LOD,0.0000,119.7903 , 97.4498,<LOD,1.5484,195.2139 , 10.9850,<LOD,0.5415,<LOD,0.0000,<LOD,2.0815,<LOD,221.6604,<LOD,2.0610,<LOD,155.7996,<LOD,0.0000,<LOD,0.9640,85.2989 , 4.7726,<LOD,1.1224,
4471,Mining,19.59,19.52,,,,"Fri Jun 20, 2025 - 04:02:45",User,1.5,ppm,,,,,sample3,Mining,57.4324 , 50.5075,2.9823 , 1.6863,<LOD,5.6932,918938.8125 , 688.1364,<LOD,2.4012,70.1316 , 28.0536,<LOD,132.8195,427.9014 , 48.2639,<LOD,19.4057,75281.8438 , 207.3151,<LOD,0.0000,<LOD,3.2821,1009.1196 , 49.3666,1.9171 , 1.1337,1.5359 , 0.9154,3316.6641 , 41.1567,12.4884 , 1.6487,118.3280 , 8.5907,<LOD,1.0966,<LOD,0.0000,133.5030 , 108.6022,<LOD,1.4772,217.4256 , 11.1437,<LOD,0.6231,<LOD,0.0000,<LOD,2.1454,321.1197 , 129.4776,<LOD,2.0961,<LOD,103.5327,<LOD,0.0000,<LOD,0.9455,88.8039 , 4.8876,<LOD,1.2076,
4472,Mining,19.08,19.15,,,,"Fri Jun 20, 2025 - 04:03:12",User,1.5,ppm,,,,,sample3,Mining,64.4894 , 56.7091,<LOD,3.7701,6.9457 , 4.4112,925181.1250 , 679.1309,<LOD,2.5256,99.3167 , 39.7249,104.1581 , 77.7132,380.5215 , 49.8468,<LOD,15.6402,69379.8906 , 209.7186,<LOD,0.0000,<LOD,3.3095,957.9097 , 50.6994,<LOD,1.6956,<LOD,1.3390,2992.4146 , 40.4761,14.7166 , 1.7659,108.5092 , 8.7958,<LOD,1.1763,<LOD,0.0000,164.4999 , 133.8069,<LOD,1.7183,235.2990 , 11.4920,<LOD,0.5245,<LOD,0.0000,<LOD,2.1930,244.1301 , 135.5692,<LOD,2.1605,<LOD,181.5675,<LOD,0.0000,<LOD,0.9545,66.0565 , 4.5652,<LOD,1.1130,
4473,Mining,19.20,19.25,,,,"Fri Jun 20, 2025 - 04:04:07",User,1.5,ppm,,,,,sample3,Mining,69.7497 , 61.3307,3.2343 , 1.7594,5.8954 , 4.3048,928707.1250 , 652.4324,<LOD,2.2670,112.9536 , 45.1764,<LOD,131.4409,450.0532 , 52.0427,<LOD,18.7180,65852.3359 , 206.3319,<LOD,0.0000,<LOD,4.7353,949.7837 , 50.7462,<LOD,1.6830,<LOD,1.3390,2830.6699 , 39.4591,13.3358 , 1.7090,123.1080 , 8.7780,<LOD,1.5573,<LOD,0.0000,196.5756 , 159.8871,<LOD,1.6344,273.1526 , 11.4656,<LOD,0.5188,<LOD,0.0000,<LOD,2.0152,277.7102 , 137.8863,<LOD,2.1688,77.6668 , 69.3910,<LOD,0.0000,<LOD,0.9613,56.6313 , 4.3207,<LOD,1.0786,
4474,Mining,19.53,19.14,,,,"Fri Jun 20, 2025 - 04:12:47",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.4147,4.6756 , 1.4959,<LOD,4.5995,950161.0000 , 417.9942,<LOD,1.9385,<LOD,11.1282,<LOD,124.1562,4264.9551 , 105.0598,<LOD,16.4805,42736.6523 , 159.9619,<LOD,0.0000,<LOD,2.7857,628.8156 , 48.8222,<LOD,1.3848,<LOD,1.1181,2145.8931 , 29.8293,11.8701 , 1.3966,<LOD,9.3873,<LOD,1.0200,<LOD,0.0000,<LOD,19.6138,<LOD,1.2239,<LOD,12.7332,<LOD,0.7449,<LOD,0.0000,<LOD,1.7403,<LOD,180.1373,<LOD,1.6936,<LOD,91.5664,<LOD,0.0000,<LOD,0.7928,46.1808 , 3.4237,<LOD,0.9027,
4475,Mining,19.54,19.60,,,,"Fri Jun 20, 2025 - 04:13:26",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.1197,3.6108 , 1.4171,<LOD,4.5159,952282.4375 , 378.0966,<LOD,1.6795,<LOD,10.7679,78.4918 , 55.4223,245.4954 , 39.9277,<LOD,10.9668,44485.4414 , 157.4351,<LOD,0.0000,<LOD,2.5453,607.3829 , 37.5246,<LOD,1.3444,<LOD,1.0854,2253.0088 , 29.7128,11.7550 , 1.3532,<LOD,9.0863,<LOD,0.9020,<LOD,0.0000,<LOD,19.0113,<LOD,1.1669,<LOD,12.3625,0.7231 , 0.2991,<LOD,0.0000,<LOD,1.6165,<LOD,167.4057,<LOD,1.6589,<LOD,86.3860,<LOD,0.0000,<LOD,0.7727,31.6707 , 2.9847,<LOD,0.8961,
4476,Mining,20.45,19.96,,,,"Fri Jun 20, 2025 - 04:14:00",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.9805,3.3352 , 1.4165,<LOD,4.3131,948751.4375 , 389.1855,<LOD,1.7371,<LOD,10.5916,<LOD,81.8205,1083.1027 , 57.0070,<LOD,12.8179,47131.6445 , 156.1012,<LOD,0.0000,<LOD,2.5477,641.1517 , 39.0585,<LOD,1.3174,<LOD,1.0680,2336.6980 , 29.3870,14.0510 , 1.3651,<LOD,8.9549,<LOD,0.8477,<LOD,0.0000,<LOD,18.6875,<LOD,1.1266,<LOD,12.1246,<LOD,0.5117,<LOD,0.0000,<LOD,1.5524,<LOD,164.2390,<LOD,1.6036,<LOD,81.4738,<LOD,0.0000,<LOD,0.7678,38.5408 , 3.0682,<LOD,0.8821,
4477,Mining,19.65,19.66,,,,"Fri Jun 20, 2025 - 04:14:38",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.3154,3.8591 , 1.5539,<LOD,4.6467,952811.5625 , 389.1118,<LOD,1.8610,<LOD,10.9714,<LOD,110.9866,793.6072 , 54.5200,<LOD,10.2274,43587.1328 , 159.2256,<LOD,0.0000,<LOD,2.6543,596.2758 , 39.5374,<LOD,1.3890,<LOD,1.0996,2164.5686 , 29.7548,16.7134 , 1.4928,<LOD,9.2698,<LOD,0.9230,<LOD,0.0000,<LOD,19.3751,<LOD,1.1929,<LOD,12.5516,<LOD,0.5129,<LOD,0.0000,<LOD,1.6833,<LOD,182.1061,<LOD,1.7216,<LOD,89.9772,<LOD,0.0000,<LOD,0.8175,26.2286 , 2.8931,<LOD,0.9021,
4478,Mining,19.89,19.28,,,,"Fri Jun 20, 2025 - 04:15:10",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.7549,2.6900 , 1.5377,<LOD,4.9658,948050.6250 , 428.8402,<LOD,1.9905,<LOD,11.5137,<LOD,114.6217,1345.7714 , 65.0612,<LOD,15.9891,47478.9180 , 164.4812,<LOD,0.0000,<LOD,2.8257,648.0668 , 41.9551,<LOD,1.4173,<LOD,1.1272,2418.3325 , 31.5031,16.4288 , 1.5163,<LOD,9.9002,<LOD,0.9243,<LOD,0.0000,<LOD,20.4153,<LOD,1.3003,<LOD,13.2421,<LOD,0.7380,<LOD,0.0000,<LOD,1.8248,<LOD,187.2741,<LOD,1.7297,<LOD,92.3137,<LOD,0.0000,<LOD,0.8191,39.2084 , 3.2682,<LOD,0.9281,
4479,Mining,19.76,19.88,,,,"Fri Jun 20, 2025 - 04:15:44",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.0034,2.1831 , 1.3043,<LOD,4.3412,944356.3750 , 406.5759,<LOD,1.8108,<LOD,10.6407,<LOD,118.3450,298.4010 , 38.8411,<LOD,10.2650,51859.6562 , 158.9863,<LOD,0.0000,<LOD,2.5079,704.2989 , 37.3062,<LOD,1.3185,<LOD,1.0656,2734.7773 , 31.1635,10.9132 , 1.2819,<LOD,9.0185,<LOD,0.8571,<LOD,0.0000,<LOD,18.7586,<LOD,1.1477,<LOD,12.1846,<LOD,0.4027,<LOD,0.0000,<LOD,1.6221,<LOD,158.2321,<LOD,1.6665,<LOD,81.0871,<LOD,0.0000,<LOD,0.7779,33.3977 , 2.8951,<LOD,0.8520,
4480,Mining,19.76,19.65,,,,"Fri Jun 20, 2025 - 04:16:14",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.2448,<LOD,3.1502,<LOD,4.4434,937713.0625 , 439.7521,<LOD,1.7941,<LOD,10.9014,<LOD,87.3821,132.1605 , 34.0532,<LOD,17.2747,58250.0469 , 165.1552,<LOD,0.0000,<LOD,2.4538,736.4749 , 37.2440,<LOD,1.3723,<LOD,1.1056,3118.0229 , 33.2171,12.5718 , 1.3232,<LOD,9.2801,<LOD,0.9049,<LOD,0.0000,<LOD,19.2150,<LOD,1.1487,<LOD,12.4976,<LOD,0.4787,<LOD,0.0000,<LOD,1.5603,<LOD,160.1164,<LOD,1.6703,<LOD,82.7488,<LOD,0.0000,<LOD,0.7936,37.6582 , 3.0241,<LOD,0.8861,
4481,Mining,20.01,19.24,,,,"Fri Jun 20, 2025 - 04:16:48",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.9347,1.5384 , 1.2978,<LOD,3.9090,940379.5000 , 416.4890,<LOD,1.8229,<LOD,10.5543,<LOD,84.9820,228.2579 , 36.2684,<LOD,10.5493,55637.5508 , 161.1384,<LOD,0.0000,<LOD,2.3544,755.2921 , 37.4688,<LOD,1.3326,<LOD,1.0632,2953.3765 , 32.0078,12.2877 , 1.2898,<LOD,8.8747,<LOD,0.8942,<LOD,0.0000,<LOD,18.5644,<LOD,1.0556,<LOD,12.0445,<LOD,0.4125,<LOD,0.0000,<LOD,1.5110,<LOD,158.9738,<LOD,1.6430,<LOD,78.8924,<LOD,0.0000,<LOD,0.7693,32.2314 , 2.8417,<LOD,0.8670,
4482,Mining,20.31,19.95,,,,"Fri Jun 20, 2025 - 04:17:31",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.4749,<LOD,2.0817,<LOD,4.1698,947284.5625 , 371.3694,<LOD,1.6864,<LOD,9.9757,<LOD,97.8174,197.0594 , 35.5065,<LOD,9.8431,49245.2578 , 153.7170,<LOD,0.0000,<LOD,2.2681,654.6385 , 35.6238,<LOD,1.2854,<LOD,1.0326,2581.1208 , 29.7595,12.6881 , 1.2840,<LOD,8.2996,<LOD,0.8542,<LOD,0.0000,<LOD,17.5469,<LOD,1.0910,<LOD,11.4160,<LOD,0.4019,<LOD,0.0000,<LOD,1.5095,<LOD,145.7559,<LOD,1.5590,<LOD,77.3633,<LOD,0.0000,<LOD,0.7275,24.6558 , 2.6094,<LOD,0.8380,
4483,Mining,20.04,19.74,,,,"Fri Jun 20, 2025 - 04:18:06",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.6129,<LOD,2.8197,<LOD,3.9248,940048.3750 , 401.2318,<LOD,1.6764,<LOD,10.1135,<LOD,91.4535,226.5218 , 35.4417,<LOD,10.4030,55942.9102 , 158.1763,<LOD,0.0000,<LOD,2.3608,741.4506 , 36.3744,<LOD,1.3009,<LOD,1.0403,3000.3833 , 31.5413,10.8829 , 1.2416,<LOD,8.4291,0.8836 , 0.5631,<LOD,0.0000,<LOD,17.7758,<LOD,1.0939,<LOD,11.5502,<LOD,0.4031,<LOD,0.0000,<LOD,1.5183,<LOD,142.0709,<LOD,1.4627,<LOD,77.4505,<LOD,0.0000,<LOD,0.7319,28.5906 , 2.6885,<LOD,0.8465,
4484,Mining,19.87,19.88,,,,"Fri Jun 20, 2025 - 04:19:04",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.8851,3.1674 , 1.3503,<LOD,4.1965,938096.3750 , 423.1510,<LOD,1.6692,<LOD,10.4574,<LOD,111.0664,343.1598 , 38.4189,<LOD,10.4606,57664.5859 , 160.8203,<LOD,0.0000,<LOD,2.8828,795.7448 , 37.6828,<LOD,1.3279,<LOD,1.0735,3046.5876 , 32.0077,13.4134 , 1.3060,<LOD,8.8170,<LOD,0.8729,<LOD,0.0000,<LOD,18.4199,<LOD,1.1143,<LOD,11.9675,<LOD,0.6290,<LOD,0.0000,<LOD,1.4864,<LOD,152.8647,<LOD,1.6373,<LOD,77.2386,<LOD,0.0000,<LOD,0.7926,36.9708 , 2.9150,<LOD,0.8706,
4485,Mining,19.37,19.42,,,,"Fri Jun 20, 2025 - 04:19:51",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.5454,2.6779 , 1.5493,<LOD,4.5565,935605.9375 , 463.0302,<LOD,1.9483,<LOD,11.2319,<LOD,92.8630,455.8603 , 44.1320,<LOD,12.4629,59878.4922 , 176.0040,<LOD,0.0000,<LOD,2.5988,805.9379 , 41.0767,<LOD,1.4301,<LOD,1.1465,3198.7070 , 35.3911,18.4691 , 1.5264,<LOD,9.4384,<LOD,0.9649,<LOD,0.0000,<LOD,19.7811,<LOD,1.1869,<LOD,12.8607,<LOD,0.4391,<LOD,0.0000,<LOD,1.7077,<LOD,156.4446,<LOD,1.7126,<LOD,82.6984,<LOD,0.0000,<LOD,0.7999,33.8969 , 3.0785,<LOD,0.9316,
4486,Mining,19.48,19.39,,,,"Fri Jun 20, 2025 - 04:20:40",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.7454,2.1864 , 1.8465,<LOD,4.2266,941846.3750 , 407.2298,<LOD,1.8149,<LOD,10.3112,<LOD,83.7270,1852.3877 , 66.8093,<LOD,12.0470,52799.5508 , 159.2564,<LOD,0.0000,<LOD,2.2355,702.2147 , 40.5858,<LOD,1.2952,<LOD,1.0571,2716.0122 , 30.8562,43.5111 , 1.8789,<LOD,8.5902,<LOD,0.8830,<LOD,0.0000,<LOD,18.1198,<LOD,1.0897,<LOD,11.7980,<LOD,0.3828,<LOD,0.0000,<LOD,1.6986,<LOD,148.7043,<LOD,1.6091,<LOD,74.7326,<LOD,0.0000,<LOD,0.7758,37.7316 , 2.9735,<LOD,0.8726,
4487,Mining,20.21,19.55,,,,"Fri Jun 20, 2025 - 04:21:19",User,1.5,ppm,,,,,sample4,Mining,<LOD,8.8938,2.8563 , 1.4861,<LOD,4.4040,944518.4375 , 401.6973,<LOD,1.8423,<LOD,10.5149,<LOD,123.2262,243.0274 , 37.4364,<LOD,10.3645,51836.5938 , 158.9216,<LOD,0.0000,<LOD,2.2968,656.1299 , 36.3115,<LOD,1.3305,<LOD,1.0508,2687.2898 , 30.9010,19.5422 , 1.4620,<LOD,8.8708,<LOD,0.8923,<LOD,0.0000,<LOD,18.5348,<LOD,1.1526,<LOD,12.0398,<LOD,0.4608,<LOD,0.0000,<LOD,1.6039,<LOD,152.1485,<LOD,1.6355,<LOD,82.1498,<LOD,0.0000,<LOD,0.7548,36.1626 , 2.9573,<LOD,0.8706,
4488,Mining,20.16,19.75,,,,"Fri Jun 20, 2025 - 04:21:52",User,1.5,ppm,,,,,sample4,Mining,<LOD,9.1455,3.0972 , 1.6920,<LOD,4.7965,951255.2500 , 384.8711,<LOD,1.9379,<LOD,10.8227,<LOD,89.1422,269.4519 , 40.7007,<LOD,13.9062,45523.0625 , 159.0232,<LOD,0.0000,<LOD,2.4951,612.5858 , 37.7848,<LOD,1.3351,<LOD,1.0775,2281.0615 , 30.0720,26.2411 , 1.6743,<LOD,9.0977,<LOD,0.8999,<LOD,0.0000,<LOD,19.0879,<LOD,1.1996,<LOD,12.4197,<LOD,0.4317,<LOD,0.0000,<LOD,1.7561,<LOD,171.5011,<LOD,1.6775,<LOD,87.5381,<LOD,0.0000,<LOD,0.7923,29.2486 , 2.9395,<LOD,0.8804,
